Interface              IP-Address      OK? Method Status                Protocol
Vlan1                  unassigned      YES NVRAM  up                    up      
Vlan304                10.30.4.116     YES NVRAM  up                    up      
FastEthernet0          unassigned      YES NVRAM  administratively down down    
GigabitEthernet0/1     unassigned      YES unset  down                  down    
GigabitEthernet0/2     unassigned      YES unset  down                  down    
GigabitEthernet0/3     unassigned      YES unset  down                  down    
GigabitEthernet0/4     unassigned      YES unset  down                  down    
GigabitEthernet0/5     unassigned      YES unset  down                  down    
GigabitEthernet0/6     unassigned      YES unset  down                  down    
GigabitEthernet0/7     unassigned      YES unset  down                  down    
GigabitEthernet0/8     unassigned      YES unset  down                  down    
GigabitEthernet0/9     unassigned      YES unset  down                  down    
GigabitEthernet0/10    unassigned      YES unset  down                  down    
GigabitEthernet0/11    unassigned      YES unset  down                  down    
GigabitEthernet0/12    unassigned      YES unset  down                  down    
GigabitEthernet0/13    unassigned      YES unset  down                  down    
GigabitEthernet0/14    unassigned      YES unset  down                  down    
GigabitEthernet0/15    unassigned      YES unset  down                  down    
GigabitEthernet0/16    unassigned      YES unset  down                  down    
GigabitEthernet0/17    unassigned      YES unset  down                  down    
GigabitEthernet0/18    unassigned      YES unset  down                  down    
GigabitEthernet0/19    unassigned      YES unset  down                  down    
GigabitEthernet0/20    unassigned      YES unset  down                  down    
GigabitEthernet0/21    unassigned      YES unset  down                  down    
GigabitEthernet0/22    unassigned      YES unset  down                  down    
GigabitEthernet0/23    unassigned      YES unset  down                  down    
GigabitEthernet0/24    unassigned      YES unset  up                    up      
GigabitEthernet1/1     unassigned      YES unset  down                  down    
GigabitEthernet1/2     unassigned      YES unset  down                  down    
GigabitEthernet1/3     unassigned      YES unset  down                  down    
GigabitEthernet1/4     unassigned      YES unset  down                  down    
TenGigabitEthernet1/1  unassigned      YES unset  down                  down    
TenGigabitEthernet1/2  unassigned      YES unset  down                  down
